#gene_id	gene_symbol	rank	score	hpo_implicated	hpo_description_implicated	phenotype_specificity
2200	FBN1	11	4.46	[{'HP:0000540': 0.2}, {'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0001629': 0.4}, {'HP:0001508': 0.6}, {'HP:0000343': 0.8}, {'HP:0000369': 0.3}, {'HP:0001195': 0.1}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.8}, {'Low-set ears': 0.3}, {'Single umbilical artery': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1387	CREBBP	12	4.33	[{'HP:0011723': 0.1}, {'HP:0000540': 0.4}, {'HP:0000347': 0.5}, {'HP:0001629': 0.7}, {'HP:0001508': 0.4}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.4}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2316	FLNA	13	4.31	[{'HP:0011723': 0.3}, {'HP:0000540': 0.2}, {'HP:0000347': 0.6}, {'HP:0001629': 0.2}, {'HP:0001508': 0.4}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.3}, {'Hypermetropia': 0.2}, {'Micrognathia': 0.6}, {'Ventricular septal defect': 0.2}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5290	PIK3CA	14	4.29	[{'HP:0011723': 0.2}, {'HP:0000540': 0.3}, {'HP:0000347': 0.3}, {'HP:0001629': 0.5}, {'HP:0001508': 0.4}, {'HP:0000343': 0.4}, {'HP:0000369': 0.2}, {'HP:0000476': 0.3}, {'HP:0001195': 0.1}, {'HP:0001328': 0.3}]	[{'Congenital malformation of the right heart': 0.2}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.3}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.4}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
9968	MED12	15	4.21	[{'HP:0000540': 0.2}, {'HP:0000347': 0.5}, {'HP:0001629': 0.5}, {'HP:0001508': 0.2}, {'HP:0000343': 0.8}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.2}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.8}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4854	NOTCH3	16	4.18	[{'HP:0000347': 0.5}, {'HP:0000819': 0.3}, {'HP:0001629': 0.3}, {'HP:0001508': 0.3}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.2}, {'HP:0001195': 0.3}, {'HP:0001328': 0.5}]	[{'Micrognathia': 0.5}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.3}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.2}, {'Single umbilical artery': 0.3}, {'Specific learning disability': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
23384	SPECC1L	17	4.14	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.5}, {'HP:0001629': 0.5}, {'HP:0000343': 0.5}, {'HP:0000369': 0.5}, {'HP:0001195': 0.6}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.5}, {'Low-set ears': 0.5}, {'Single umbilical artery': 0.6}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2627	GATA6	18	4.06	[{'HP:0011723': 0.4}, {'HP:0000347': 0.1}, {'HP:0000819': 0.8}, {'HP:0001629': 0.6}, {'HP:0001508': 0.4}, {'HP:0001195': 0.6}]	[{'Congenital malformation of the right heart': 0.4}, {'Micrognathia': 0.1}, {'Diabetes mellitus': 0.8}, {'Ventricular septal defect': 0.6}, {'Failure to thrive': 0.4}, {'Single umbilical artery': 0.6}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4089	SMAD4	19	4.05	[{'HP:0000540': 0.6}, {'HP:0000347': 0.1}, {'HP:0000819': 0.4}, {'HP:0001629': 0.2}, {'HP:0001508': 0.4}, {'HP:0000343': 0.3}, {'HP:0000369': 0.3}, {'HP:0000476': 0.2}, {'HP:0001195': 0.1}, {'HP:0001328': 0.4}]	[{'Hypermetropia': 0.6}, {'Micrognathia': 0.1}, {'Diabetes mellitus': 0.4}, {'Ventricular septal defect': 0.2}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.3}, {'Low-set ears': 0.3}, {'Cystic hygroma': 0.2}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
55636	CHD7	20	4.05	[{'HP:0011723': 0.6}, {'HP:0000347': 0.6}, {'HP:0001629': 0.5}, {'HP:0001508': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.6}, {'Micrognathia': 0.6}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4853	NOTCH2	21	3.94	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.6}, {'HP:0001629': 0.3}, {'HP:0001508': 0.4}, {'HP:0000343': 0.4}, {'HP:0000369': 0.7}, {'HP:0000476': 0.3}, {'HP:0001195': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.6}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.4}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
4763	NF1	22	3.91	[{'HP:0000347': 0.3}, {'HP:0001629': 0.5}, {'HP:0000343': 0.4}, {'HP:0000369': 0.5}, {'HP:0000476': 0.2}, {'HP:0001328': 0.8}]	[{'Micrognathia': 0.3}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.4}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.2}, {'Specific learning disability': 0.8}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
8195	MKKS	23	3.9	[{'HP:0000540': 0.1}, {'HP:0000819': 0.5}, {'HP:0001629': 0.5}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.4}, {'HP:0001328': 0.5}]	[{'Hypermetropia': 0.1}, {'Diabetes mellitus': 0.5}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.4}, {'Specific learning disability': 0.5}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1080	CFTR	24	3.9	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.2}, {'HP:0000819': 0.7}, {'HP:0001629': 0.1}, {'HP:0001508': 0.6}, {'HP:0000343': 0.1}, {'HP:0000369': 0.2}, {'HP:0000476': 0.3}, {'HP:0001195': 0.1}, {'HP:0001328': 0.2}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.2}, {'Diabetes mellitus': 0.7}, {'Ventricular septal defect': 0.1}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.1}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.2}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
9897	WASHC5	25	3.9	[{'HP:0011723': 0.5}, {'HP:0000347': 0.4}, {'HP:0001629': 0.5}, {'HP:0000343': 0.1}, {'HP:0000369': 0.7}, {'HP:0000476': 0.1}, {'HP:0001195': 0.4}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.5}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.1}, {'Low-set ears': 0.7}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.4}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1280	COL2A1	26	3.82	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.5}, {'HP:0000819': 0.3}, {'HP:0001629': 0.2}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.7}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.5}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.2}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.7}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
1717	DHCR7	27	3.73	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.5}, {'HP:0001629': 0.5}, {'HP:0001508': 0.6}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2697	GJA1	28	3.72	[{'HP:0011723': 0.1}, {'HP:0000540': 0.3}, {'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
25	ABL1	29	3.72	[{'HP:0011723': 0.3}, {'HP:0000347': 0.2}, {'HP:0000819': 0.1}, {'HP:0001629': 0.7}, {'HP:0001508': 0.6}, {'HP:0000343': 0.2}, {'HP:0000369': 0.3}, {'HP:0001195': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.3}, {'Micrognathia': 0.2}, {'Diabetes mellitus': 0.1}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.6}, {'Long philtrum': 0.2}, {'Low-set ears': 0.3}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
8085	KMT2D	30	3.67	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.5}, {'HP:0001629': 0.5}, {'HP:0001508': 0.4}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.5}, {'Ventricular septal defect': 0.5}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
25836	NIPBL	31	3.56	[{'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0001629': 0.4}, {'HP:0001508': 0.4}, {'HP:0000343': 0.5}, {'HP:0000369': 0.5}, {'HP:0000476': 0.1}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.4}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.5}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
100151683	RNU4ATAC	32	3.54	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0001629': 0.3}, {'HP:0001508': 0.5}, {'HP:0000343': 0.4}, {'HP:0000369': 0.4}, {'HP:0000476': 0.1}, {'HP:0001328': 0.3}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.5}, {'Long philtrum': 0.4}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
5728	PTEN	33	3.54	[{'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0001508': 0.2}, {'HP:0000343': 0.7}, {'HP:0000369': 0.4}, {'HP:0000476': 0.2}, {'HP:0001195': 0.1}, {'HP:0001328': 0.1}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.7}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.2}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
80184	CEP290	34	3.53	[{'HP:0011723': 0.1}, {'HP:0000540': 0.3}, {'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0001629': 0.5}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.3}, {'HP:0001328': 0.3}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.3}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.3}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
64324	NSD1	35	3.5	[{'HP:0000540': 0.4}, {'HP:0000347': 0.4}, {'HP:0001629': 0.5}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0001328': 0.4}]	[{'Hypermetropia': 0.4}, {'Micrognathia': 0.4}, {'Ventricular septal defect': 0.5}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Specific learning disability': 0.4}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
6654	SOS1	36	3.49	[{'HP:0000347': 0.5}, {'HP:0001629': 0.7}, {'HP:0001508': 0.1}, {'HP:0000369': 0.5}, {'HP:0000476': 0.3}, {'HP:0001195': 0.1}, {'HP:0001328': 0.3}]	[{'Micrognathia': 0.5}, {'Ventricular septal defect': 0.7}, {'Failure to thrive': 0.1}, {'Low-set ears': 0.5}, {'Cystic hygroma': 0.3}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
54903	MKS1	37	3.49	[{'HP:0000540': 0.1}, {'HP:0000347': 0.4}, {'HP:0000819': 0.3}, {'HP:0001629': 0.1}, {'HP:0000343': 0.3}, {'HP:0000369': 0.4}, {'HP:0000476': 0.4}, {'HP:0001195': 0.4}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.1}, {'Micrognathia': 0.4}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.1}, {'Long philtrum': 0.3}, {'Low-set ears': 0.4}, {'Cystic hygroma': 0.4}, {'Single umbilical artery': 0.4}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
3077	HFE	38	3.43	[{'HP:0011723': 0.1}, {'HP:0000540': 0.1}, {'HP:0000347': 0.1}, {'HP:0000819': 0.9}, {'HP:0001629': 0.1}, {'HP:0001508': 0.4}, {'HP:0000343': 0.1}, {'HP:0000369': 0.1}, {'HP:0000476': 0.1}, {'HP:0001195': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.1}, {'Hypermetropia': 0.1}, {'Micrognathia': 0.1}, {'Diabetes mellitus': 0.9}, {'Ventricular septal defect': 0.1}, {'Failure to thrive': 0.4}, {'Long philtrum': 0.1}, {'Low-set ears': 0.1}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2006	ELN	39	3.42	[{'HP:0000540': 0.3}, {'HP:0000347': 0.2}, {'HP:0000819': 0.3}, {'HP:0001629': 0.3}, {'HP:0001508': 0.2}, {'HP:0000343': 0.3}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001328': 0.3}]	[{'Hypermetropia': 0.3}, {'Micrognathia': 0.2}, {'Diabetes mellitus': 0.3}, {'Ventricular septal defect': 0.3}, {'Failure to thrive': 0.2}, {'Long philtrum': 0.3}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Specific learning disability': 0.3}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
2626	GATA4	40	3.4	[{'HP:0011723': 0.2}, {'HP:0000347': 0.3}, {'HP:0000819': 0.1}, {'HP:0001629': 0.8}, {'HP:0000369': 0.2}, {'HP:0000476': 0.1}, {'HP:0001195': 0.1}, {'HP:0001328': 0.1}]	[{'Congenital malformation of the right heart': 0.2}, {'Micrognathia': 0.3}, {'Diabetes mellitus': 0.1}, {'Ventricular septal defect': 0.8}, {'Low-set ears': 0.2}, {'Cystic hygroma': 0.1}, {'Single umbilical artery': 0.1}, {'Specific learning disability': 0.1}]	A - the reported phenotype is highly specific and relatively unique to the gene (top 40, 50 perc of diagnosis in PhenoGenius cohort).
